DogName, Count
COSMO,5
DIEGO,5
DIGGER,5
DOC,5
DOTTIE,5
EDDY,5
FAITH,5
FANCY,5
FERGUS,5
FOXY,5
FRITZ,5
GHOST,5
GINNY,5
GLORY,5
GRIZZLY,5
GUCCI,5
GUINNESS,5
HAPPY,5
JAVA,5
JAXSON,5
JAXX,5
JUNIOR,5
JUNIPER,5
KIANA,5
KOVU,5
KUMA,5
KYRA,5
LEXIE,5
LILA,5
LOUIS,5
LUCA,5
MADDY,5
MAISIE,5
MARTY,5
MATILDA,5
MIKEY,5
MILES,5
MIMI,5
MISHKA,5
MOCHI,5
MOKI,5
MONTE,5
MORGAN,5
MOWGLI,5
MOXIE,5
NACHO,5
NIKO,5
OBI,5
OZZIE,5
PABLO,5
PIPPIN,5
POTTER,5
QUEEN,5
RAIDER,5
RICO,5
ROGER,5
SALLY,5
SCRUFFY,5
SEBASTIAN,5
SIERRA,5
SNICKERS,5
SUMMER,5
SVEN,5
TACO,5
TEDDY BEAR,5
TESS,5
THUMPER,5
TITUS,5
TOK,5
TRAPPER,5
TUFFY,5
VADER,5
WAFFLES,5
WILLA,5
WRANGELL,5
WRIGLEY,5
XANDER,5
ADDY,4
AJAX,4
ARGOS,4
ARIES,4
ASHER,4
ASTRO,4
ATKA,4
AVALANCHE,4
AXLE,4
BEAN,4
BEAST,4
BENTLY,4
BESSIE,4
BIGGIE,4
BLOSSOM,4
BOBBY,4
BOWSER,4
BREE,4
BRISTOL,4
BUCKY,4
BUG,4
BUTTERS,4
CALLIE,4
CHARLOTTE,4
CHEWIE,4
CHICHI,4
CHILI,4
CHOP,4
CHURRO,4
CINDER,4
CLOUD,4
CODA,4
COHO,4
COWBOY,4
CUJO,4
CURLY,4
DINO,4
DOMINO,4
DUDE,4
DUTCHESS,4
DYLAN,4
EEVEE,4
ELI,4
ELLI,4
ELSA,4
ERNIE,4
FELIX,4
FLUFFY,4
FLYNN,4
GABBY,4
GAGE,4
GEORGIA,4
GRANITE,4
GROOT,4
GUNNAR,4
HANSEL,4
HATCHER,4
HAVOC,4
HEALY,4
HERSHEY,4
HICCUP,4
HUCK,4
HUCKLEBERRY,4
ISABELLA,4
JACKIE,4
JAXON,4
JAZZY,4
JEDI,4
JETHRO,4
KAISER,4
KARL,4
KATO,4
KATY,4
KAYLEE,4
KYLO,4
LANA,4
LEAH,4
LIBBY,4
LILO,4
LITTLE BEAR,4
LIZZY,4
LOU,4
LUKA,4
LYLA,4
LYRA,4
MACK,4
MAISY,4
MANGO,4
MAPLE,4
MARCO,4
MASON,4
MCKINLEY,4
MILA,4
MILEY,4
MINI,4
MISO,4
MOE,4
MURRAY,4
NANUQ,4
NASH,4
NIKE,4
NIKKI,4
NOODLE,4
OLAF,4
ORION,4
OSIRIS,4
OTTER,4
PAISLEY,4
PAPI,4
PICKLES,4
PIPPA,4
PIXEL,4
PUCK,4
QUEENIE,4
QUINCY,4
RAINA,4
REESE,4
ROSCO,4
ROVER,4
SARGE,4
SCARLETT,4
SCOTTY,4
SHERLOCK,4
SHERMAN,4
SIDNEY,4
SIMON,4
SNOW,4
SNOWBALL,4
SOCKS,4
SONNY,4
SOPHIA,4
SPENCER,4
SPIRIT,4
SPOCK,4
STITCH,4
SWEETIE,4
TANNER,4
TINK,4
TITO,4
TONKA,4
TOOTSIE,4
TROOPER,4
TURBO,4
TY,4
WAYLON,4
WHISPER,4
WIGGLES,4
YODA,4
ZORA,4
ZUKO,4
AUGUST,3
JUNE,3
ABE,3
ABIGAIL,3
ADDIE,3
AIKO,3
ALEX,3
ALICE,3
ALYESKA,3
ANDY,3
ANNA,3
ANYA,3
APPA,3
ARIA,3
ARTHUR,3
BAKER,3
BAM BAM,3
BARKLEY,3
BARNEY,3
BARRETT,3
BEAUREGARD,3
BELL,3
BENELLI,3
BENJAMIN,3
BENSON,3
BIGGS,3
BINGO,3
BLAZE,3
BLEU,3
BLITZ,3
BODE,3
BONITA,3
BOONE,3
BOSCO,3
BRADY,3
BROOK,3
BRUCE WAYNE,3
BRYN,3
BUD,3
BUDDHA,3
BUFFY,3
BUGSY,3
BUNNY,3
BURT,3
BUSTER BROWN,3
BUTTONS,3
BYRON,3
